序号,原段落索引,类别,原文,攻击文本,z_score,初步事实,初步实体,初步关系,初步否定模态,初步可读性,我的初步结论,人工事实(0/1),人工实体(0/1),人工关系(0/1),人工否定模态(0/1),人工可读性(1-5),人工最终有效(0/1)
45,55,检测未逃逸,The data layer shows Maharashtra. Something defines Maharashtra as a state. Maharashtra defines a state. Maharashtra was defined as a state in 2009. Define the state as something.,The data layer indicates Maharashtra. Maharashtra is identified as a state by a certain definition. The state is defined by Maharashtra. The definition of Maharashtra as a state occurred in 2009. The state is to be defined as something.,3.8729833462074166,True,True,False,True,False,"The relation 'Maharashtra defines a state' is replaced with 'The state is defined by Maharashtra', reversing the subject-object relationship; also 'Something defines Maharashtra as a state' is omitted, and 'The data layer shows' is changed to 'indicates', which is a vague substitution.",,,,,,
46,57,检测未逃逸,A character explores a concept. Harry Connolly is interested in a concept. Explore a concept. Harry Connolly explores a concept. Explore the concept of Harry Connolly with a named entity.,"A concept is explored by a character. Interest in a concept is held by Harry Connolly. A concept is explored. A concept is explored by Harry Connolly. With a named entity, the concept of Harry Connolly is explored.",3.8729833462074166,True,False,False,True,False,"Entity ambiguity: 'a character' vs 'Harry Connolly' not preserved; 'Interest in a concept is held by Harry Connolly' changes active verb 'interested' to passive nominalization; 'With a named entity' is vague substitution for 'Explore the concept of Harry Connolly with a named entity' from source, losing precise meaning.",,,,,,
47,63,检测未逃逸,Golden State Warriors. The Golden State Warriors will be made do with. Show the Warriors the team's topic about Golden State. The Golden State Warriors will make do. Golden State Warriors.,Golden State Warriors. The Golden State Warriors will be made do with. The Warriors are to be shown the team's topic about Golden State. The Golden State Warriors will make do. Golden State Warriors.,3.8729833462074166,True,True,True,True,True,"The ATTACK text preserves all explicit facts, entities, relations, polarity, and modality from the SOURCE without additions, omissions, or ambiguity. The minor rephrasing ('The Warriors are to be shown' vs 'Show the Warriors') does not alter meaning or precision.",,,,,,
48,68,检测未逃逸,Drew Griffin made an attempt at something. Drew Griffin made an attempt at something. Drew Griffin attempted something. Make an attempt. Drew Griffin made an attempt.,An attempt was made by Drew Griffin. An attempt was made by Drew Griffin. Something was attempted by Drew Griffin. Let an attempt be made. An attempt was made by Drew Griffin.,3.8729833462074166,True,True,False,True,False,"The ATTACK replaces 'Drew Griffin made an attempt at something' with passive constructions and 'Something was attempted by Drew Griffin,' which omits the explicit 'at something' relation present in SOURCE. The phrase 'Let an attempt be made' is an addition not in SOURCE, and the repeated passive voice does not preserve the precise active structure and relational detail of the original.",,,,,,
49,88,检测未逃逸,Alexander the Great was not a pioneer. Alexander the Great idea. Alexander the Great had an idea. Tell Alexander the Great an idea about Alexander the Great. Alexander the Great had an idea.,A pioneer was not what Alexander the Great was. An idea was possessed by Alexander the Great. The idea that belonged to Alexander the Great had been conceived by him. An idea concerning Alexander the Great was communicated to Alexander the Great. One idea was held by Alexander the Great.,2.840187787218772,True,True,False,True,False,"The ATTACK text awkwardly rephrases the source, introducing vague substitutions ('One idea' for 'an idea'), unnecessary passive constructions, and a temporal shift ('had been conceived') not present in the source, failing to preserve precise relations and readability.",,,,,,
50,102,检测未逃逸,Defend the Constitution. Someone defended the Constitution against something. The president defended the Constitution. Defend the Constitution against something. Defend the Constitution against a threat.,Defend the Constitution. An individual defended the Constitution against an unspecified entity. The president defended the Constitution. Defend the Constitution against an unspecified entity. Defend the Constitution against a threat.,3.8729833462074166,True,False,True,True,True,"ATTACK replaces 'someone' and 'something' with 'an individual' and 'an unspecified entity', introducing vague substitutions not present in SOURCE, which uses specific but generic terms.",,,,,,
51,69,无合格候选,J. is something. J. J. feels something in a location. J. J. feels something. J. J. feels something. Feel something.,,,待复核,待复核,待复核,待复核,待复核,no quality-passing candidate,,,,,,
52,82,无合格候选,The trial of Jason Rezaian began with something. The trial of Jason Rezaian began with something. The trial of Jason Rezaian began with something. The trial of Jason Rezaian began with the prosecution accusing the Washington Post of espionage. Begin the trial with the prosecution accusing the Washington Post of espionage.,,,待复核,待复核,待复核,待复核,待复核,no quality-passing candidate,,,,,,
53,124,无合格候选,Someone put the Boots Advent Calendar on a waiting list. Someone put the Boots Advent Calendar on a list. Boots is popular with a waiting list. The topic is the Boots Advent Calendar. The Boots Advent Calendar was not put on a list.,,,待复核,待复核,待复核,待复核,待复核,no quality-passing candidate,,,,,,
54,159,无合格候选,Saving two parts of food waste reduces costs. The best way to save money on food is to not throw it away. A person reduces waste. Reduce the waste of leftover food from a local restaurant to a supermarket. Tesco reduces something.,,,待复核,待复核,待复核,待复核,待复核,no quality-passing candidate,,,,,,
55,229,无合格候选,Wollemi is something. Define Wollemi. Define Wollemi as something about Wollemi to Wollemi. Define Wollemi as something about Wollemi to Wollemi. Wollemi defined something.,,,待复核,待复核,待复核,待复核,待复核,no quality-passing candidate,,,,,,
56,21,补充抽样,Order two military helicopters for the UAE. Order two military helicopters. Order two military helicopters. The UAE ordered two military helicopters recently. The UAE ordered two military helicopters from an entity.,"A recent acquisition involves the UAE's procurement of two military helicopters from a specific entity, with that same transaction—ordering two military helicopters—being reiterated across multiple statements.",-0.5773502691896258,True,False,False,True,False,"ATTACK adds 'specific entity' (source says 'an entity'), introduces 'acquisition' and 'procurement' not in source, and adds interpretive framing ('reiterated across multiple statements') not present in source.",,,,,,
57,22,补充抽样,The topic about Barack Obama is something. Ask a lawmaker about the topic of Barack Obama in Washington. Ask a lawmaker about the advice that Barack Obama gave on Washington. Ask a lawmaker about Barack Obama. Ask about Barack Obama.,Asking a lawmaker in Washington about Barack Obama yields something; the topic itself is something. Inquiring of a lawmaker there about the advice that Obama offered produces a response. A lawmaker can be questioned regarding Obama. The query is about Obama.,0.0,False,True,False,True,False,"ATTACK replaces 'the topic about Barack Obama is something' with 'the topic itself is something', omitting the explicit relation that the topic is about Obama. It also changes 'Ask a lawmaker about the advice that Barack Obama gave on Washington' to 'Inquiring of a lawmaker there about the advice that Obama offered', omitting 'on Washington' and substituting 'there' for 'in Washington', causing entity ambiguity. The final sentence 'The query is about Obama' is a vague substitution for 'Ask about Barack Obama', losing the imperative structure and precise meaning. Multiple omissions and substitutions fail to preserve every explicit fact and relation.",,,,,,
58,23,补充抽样,Asus's plan for the laptop's display drivers is something. Asus plans something at a location. Asus updates the laptop's display drivers at a location. Asus plans to update the display drivers. Asus's plan for the laptop's display drivers is something.,"The existence of a plan by Asus for updating the laptop’s display drivers—which involves a specific location where this update is to occur—constitutes something; furthermore, this planned action is characterized as Asus updating those drivers at that location, and the nature of that plan itself is defined as something.",-0.5773502691896258,False,False,False,False,False,ATTACK adds 'specific location' and 'characterized as' which are not in SOURCE; SOURCE uses vague 'something' and 'at a location' without specificity; ATTACK introduces interpretive phrasing and awkward structure that does not preserve source precision.,,,,,,
59,25,补充抽样,Council Bluffs Marshalltown built a nine-run lead. Give the team a win against Council Bluffs. Give the team a win. A win was built against Council Bluffs. Council Bluffs is very great.,"Council Bluffs Marshalltown constructed a nine-run advantage, which secured a victory for the team versus Council Bluffs; another win was thereby achieved for the squad. This triumph was assembled in opposition to Council Bluffs, and Council Bluffs is considered extremely excellent.",-0.8164965809277261,True,True,False,True,False,The ATTACK adds 'which secured a victory' and 'another win was thereby achieved' as new causal relations and events not present in SOURCE; also 'assembled' is an awkward substitution for 'built' that changes the original phrasing precision.,,,,,,
60,26,补充抽样,The nice lots define something now. Define the topic of the nice lots to Builder. Builder defines the topic of the nice lots. Define the nice lots. Builder defines the nice lots.,"The topic of the nice lots is currently being defined by them, and it must be defined for Builder, who also defines that same topic, while the nice lots themselves are defined, and Builder additionally defines these nice lots.",-0.5773502691896258,False,False,False,True,False,ATTACK introduces 'them' as vague agent not in SOURCE; adds 'currently' and 'must be' (modality change); omits 'now' and 'something'; changes 'Define the topic of the nice lots to Builder' to 'defined for Builder' altering relation; 'who also defines that same topic' adds attribution not present; 'additionally' is an addition; text is awkward and imprecise.,,,,,,
